"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"BUILT_BY";"DESC";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_MOUSER";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SOURCELIBRARY";"SPICEPREFIX";"TEXAS_INSTRUMENTS-PURCHASE-URL";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";
"1";"";"DIODE_DUAL";"SOT-23";"BAT54C,215";"";"";"";"";"";"";"Dual Schottky, common cat";"";"";"";"";"";"";"NXP Semiconductors";"";"";"";"";"BAT54C,215";"771-BAT54C-T/R";"SOT-23";"";"";"";"";"";"";"";"Diode";"";"";
"2";"";"FERRITE";"L0603";"BLM18AG601SN1D, R4";"";"";"";"";"";"";"600R / 100MHz";"";"";"";"";"";"";"Murata Electronics";"";"";"";"";" BLM18AG601SN1D";"81-BLM11A601S";"0603";"";"";"";"";"";"";"";"Ferrite";"";"";
"1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED6";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";
"4";"";"PINHD-1X3";"1X03";"JP4, JP5, JP6, JP7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"USBPOW";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";
"1";"";"SOLDERJUMPER_2WAY0603";"SOLDERJUMPER_2WAY_OPEN_0603";"SJ1";"2-Way Solder Jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USBMINIB";"USB-MINIB";"CN1";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"0.1uF";"C-USC0603";"C0603";"C3, C5, C10, C18, C19, C20, C23, C24";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"5";"100";"R-US_R0603";"R0603";"R29, R33, R38, R43, R48";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"1000";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"13";"100k";"R-US_R0603";"R0603";"R5, R9, R12, R14, R22, R27, R34, R39, R44, R49, R57, R58, R66";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"3";"100nF";"C-USC0603";"C0603";"C1, C9, C11";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"1";"10k";"R-US_R0603";"R0603";"R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"8";"10uF";"C-USC0603";"C0603";"C2, C12, C15, C21, C22, C25, C26, C29";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"1";"142-0701-211";"142-0701-211";"1420701211";"J10";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"142-0701-211";"https://www.arrow.com/en/products/142-0701-211/cinch-connectivity-solutions";"";"";"";"Cinch Connectors Straight 50 PCB Mount SMA Connector, jack, Solder Termination";"";"";"9.652mm";"Cinch Connectivity Solutions";"142-0701-211";"";"";"530-1420701211";"https://www.mouser.co.uk/ProductDetail/Johnson-Cinch-Connectivity-Solutions/142-0701-211?qs=VqHsQWpF6ulG8WyKOf%2FLqg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"1727052";"1727052";"SHDR6W105P0X381_1X6_2285X730X8";"J1, J2, J3, J4, J9";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"1727052";"https://www.arrow.com/en/products/1727052/phoenix-contact";"";"";"";"PHOENIX CONTACT - 1727052 - TERMINAL BLOCK, WIRE TO BRD, 6POS, 16AWG";"";"";"8.65mm";"Phoenix Contact";"1727052";"";"";"651-1727052";"https://www.mouser.co.uk/ProductDetail/Phoenix-Contact/1727052?qs=WWq3Ki8dym7VpMyTMk0i8A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1SMB5929BT3G";"1SMB5929BT3G";"DIOM5436X247N";"Z2";"ON Semiconductor, 15V Zener Diode 5% 550 mW SMT 2-Pin SMB";"";"1SMB5929BT3G";"https://www.arrow.com/en/products/1smb5929bt3g/on-semiconductor";"";"";"";"ON Semiconductor, 15V Zener Diode 5% 550 mW SMT 2-Pin SMB";"";"";"2.47mm";"ON Semiconductor";"1SMB5929BT3G";"";"";"863-1SMB5929BT3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/1SMB5929BT3G?qs=vLkC5FC1VN%2FFUr7OS2Q1Aw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"1k";"R-US_R0603";"R0603";"R7, R25, R30, R35, R40, R45, R50, R52";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"1uF";"C-USC0603";"C0603";"C7, C8";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"4";"2.2k";"R-US_R0603";"R0603";"R1, R2, R63, R64";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"2.2uF";"C-USC0603";"C0603";"C4, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"2";"22";"R-US_R0603";"R0603";"R53, R54";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"6";"220";"R-US_R0603";"R0603";"R23, R32, R37, R42, R47, R59";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"220mA/50V/3.5Ω";"MOSFET-NCH-BSS138";"SOT23-3";"Q8";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-00830";"";"";"";"";"";"220mA/50V/3.5Ω";"";
"2";"3.3k";"R-US_R0603";"R0603";"R15, R61";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"33";"R-US_R0603";"R0603";"R8, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"7";"330";"R-US_R0603";"R0603";"R26, R31, R36, R41, R46, R51, R65";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"3";"470";"R-US_R0603";"R0603";"R17, R18, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"5.6";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"560";"R-US_R0603";"R0603";"R62, R68";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"620";"R-US_R0603";"R0603";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"68";"R-US_R0603";"R0603";"R3, R60";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"1";"680";"R-US_R0603";"R0603";"R67";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";"";"";"";"";
"2";"7pF";"C-USC0603";"C0603";"C30, C31";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"C";"";"";"";"";"";
"1";"ABS10-32.768KHZ-9-T";"ABS10-32.768KHZ-9-T";"ABS-10";"Y2";"ABRACON - ABS10-32.768KHZ-9-T - Crystal, 32.768 kHz, SMD, 4.9mm x 1.8mm, 9 pF, 20 ppm, ABS10 Series";"";"ABS10-32.768KHZ-9-T";"https://www.arrow.com/en/products/abs10-32.768khz-9-t/abracon";"";"";"";"ABRACON - ABS10-32.768KHZ-9-T - Crystal, 32.768 kHz, SMD, 4.9mm x 1.8mm, 9 pF, 20 ppm, ABS10 Series";"";"";"mm";"ABRACON";"ABS10-32.768KHZ-9-T";"";"";"815-ABS10-32.768K9T";"https://www.mouser.co.uk/ProductDetail/ABRACON/ABS10-32768KHZ-9-T?qs=76dmnhCH%2FMO8FcjiLkcQ2w%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ADS1015IDGST";"ADS1015IDGST";"SOP50P490X110-10N";"U2, U6";"";"";"";"";"";"";"";" 12-Bit, 3.3kSPS, 4-Ch Delta-Sigma ADC With PGA, Oscillator, VREF, Comparator and I2C Interface 10-VSSOP -40 to 125 ";"296-25227-1-ND";"";"";"";"";"Texas Instruments";"";"";"";"ADS1015IDGST";"";"";"VSSOP-10 Texas Instruments";"";"";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=425936";"";"";"";"";
"4";"B120-13-F";"B120-13-F";"SMA_DIO";"CR1, CR2, CR5, CR6";"";"";"";"";"";"EMA_UL_Team";"";"";"";"";"";"";"B120-13-F";"";"";"";"";"";"";"";"";"";"";"";"DiodesInc_2015-05-08";"";"";"";"";"";"Diodes Inc";
"3";"B120-13-FNO_LABELS";"B120-13-FNO_LABELS";"SMA_NO_LABELS";"CR3, CR4, CR7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BD60GC0WEFJ-E2";"BD60GC0WEFJ-E2";"SOIC127P600X100-9N";"IC1";"LDO Regulator 6V 1% 1A 4.5-14V HTSOP8";"";"BD60GC0WEFJ-E2";"";"";"";"";"LDO Regulator 6V 1% 1A 4.5-14V HTSOP8";"";"";"1mm";"ROHM Semiconductor";"BD60GC0WEFJ-E2";"";"";"755-BD60GC0WEFJ-E2";"https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD60GC0WEFJ-E2?qs=QbAZ1slfEbRabsfnpcxbEg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BD6211F-E2";"BD6211F-E2";"SOIC127P620X171-8N";"IC4";"ROHM BD6211F-E2, Full Bridge Motor Driver Half-Bridge,, 8-Pin SOP";"";"BD6211F-E2";"https://www.arrow.com/en/products/bd6211f-e2/rohm-semiconductor";"";"";"";"ROHM BD6211F-E2, Full Bridge Motor Driver Half-Bridge,, 8-Pin SOP";"";"";"1.71mm";"ROHM Semiconductor";"BD6211F-E2";"";"";"755-BD6211F-E2";"https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/BD6211F-E2?qs=WqWCsLCZBkoJxAu8uKdYEg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BMI088";"BMI088";"BMI088";"IC2";"Inertial Measurement Unit Digital Output 2.5V/3.3V Automotive";"";"BMI088";"https://www.arrow.com/en/products/bmi088/bosch";"";"";"";"Inertial Measurement Unit Digital Output 2.5V/3.3V Automotive";"";"";"1.45mm";"Bosch Sensortec";"BMI088";"";"";"262-BMI088";"https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMI088?qs=f9yNj16SXrIMFspTV6RB6Q%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BMM150";"BMM150";"BMM150";"IC3";"Board Mount Hall Effect / Magnetic Sensors 3-Axis 1.56x1.56mm WLCSP-12 Geomagnetic";"";"BMM150";"https://www.arrow.com/en/products/bmm150/bosch";"";"";"";"Board Mount Hall Effect / Magnetic Sensors 3-Axis 1.56x1.56mm WLCSP-12 Geomagnetic";"";"";"0.6mm";"Bosch Sensortec";"BMM150";"";"";"262-BMM150";"https://www.mouser.co.uk/ProductDetail/Bosch-Sensortec/BMM150?qs=d72FGnIDsgTOmKpCEe6mYw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CMT-1603-SMT-TR";"CMT-1603-SMT-TR";"CMT1603SMTTR";"LS1";"AUDIO PIEZO TRANSDUCER 25V SMD";"";"CMT-1603-SMT-TR";"https://www.arrow.com/en/products/cmt-1603-smt-tr/cui-devices";"";"";"";"AUDIO PIEZO TRANSDUCER 25V SMD";"";"";"2.8mm";"CUI Devices";"CMT-1603-SMT-TR";"";"";"490-CMT-1603-SMT-TR";"https://www.mouser.co.uk/ProductDetail/CUI-Devices/CMT-1603-SMT-TR?qs=WyjlAZoYn50AZ4xT4ox6zw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"CSD17575Q3";"CSD17575Q3";"CSD16327";"Q1, Q2, Q5, Q6, Q7";"30V, N ch NexFET MOSFET, single SON3x3, 3.2mOhm";"";"CSD17575Q3";"https://www.arrow.com/en/products/csd17575q3/texas-instruments";"";"";"";"30V, N ch NexFET MOSFET, single SON3x3, 3.2mOhm";"";"";"mm";"Texas Instruments";"CSD17575Q3";"";"";"595-CSD17575Q3";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/CSD17575Q3?qs=1MXlzafEN3%2FTIl0%2FpyGUYQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FA-238_16.0000MB-K3";"FA-238_16.0000MB-K3";"EPSON-FA-238";"FA-23816.0000MA30X-AG0";"Crystal 16MHz";"";"FA-238 16.0000MB-K3";"https://www.arrow.com/en/products/fa-23816.0000mb-k3/epson-electronics-america";"";"";"";"Crystal 16MHz";"";"";"mm";"Epson Timing";"FA-238 16.0000MB-K3";"";"";"732-FA238-16B-K3";"https://www.mouser.co.uk/ProductDetail/Epson-Timing/FA-238-160000MB-K3?qs=CANAagUtPAoF3w0fRAI0xg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JS202011JCQN";"JS202011JCQN";"JS202011JCQN";"S4";"Slide Switch DPDT Surface Mount";"";"JS202011JCQN";"https://www.arrow.com/en/products/js202011jcqn/ck";"";"";"";"Slide Switch DPDT Surface Mount";"";"";"5mm";"C & K COMPONENTS";"JS202011JCQN";"";"";"611-JS202011JCQN";"https://www.mouser.co.uk/ProductDetail/CK/JS202011JCQN?qs=74EMXstkWMXJzVJFnXPbEg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LE25U40CMC-AH";"LE25U40CMC-AH";"SOIC127P600X175-8N";"IC9";"Source:  Datasheet";"";"LE25U40CMC-AH";"https://www.arrow.com/en/products/le25u40cmc-ah/on-semiconductor";"";"";"";"";"";"";"1.75mm";"ON Semiconductor";"LE25U40CMC-AH";"";"";"863-LE25U40CMC-AH";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/LE25U40CMC-AH?qs=5C9Q4QJFsuOaZKXg58P8RA%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LT1764AEQ-3.3#TRPBF";"LT1764AEQ-3.3#TRPBF";"LT1764AEQ33TRPBF";"LT1764#TRPBF";"LDO Voltage Regulators 3A, Fast Tran Resp, L N, LDO Regs";"";"LT1764AEQ-3.3#TRPBF";"";"";"";"";"LDO Voltage Regulators 3A, Fast Tran Resp, L N, LDO Regs";"";"";"4.572mm";"Linear Technology";"LT1764AEQ-3.3#TRPBF";"";"";"584-1764AEQ-3.3TRPBF";"https://www.mouser.co.uk/ProductDetail/Analog-Devices-Linear-Technology/LT1764AEQ-33TRPBF?qs=ytflclh7QUVo8QnKetIRUw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MICROSD";"MICROSD";"MICROSD";"0473340001";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MK20DX256VLH7";"MK20DX256VLH7";"LQFP64-05";"K3";"";"";"";"";"";"";"MK20DX256VLH7";"";"";"";"";"";"";"NXP";"";"";"";"";"MK20DX256VLH7";"841-MK20DX256VLH7";"LQFP-64";"";"";"";"";"";"";"";"Microcontroller";"";"";
"1";"MKL02Z32VFG4";"MKL02Z32VFG4";"QFN50P300X300X65-17N";"IC5";"NXP MKL02Z32VFG4, 32bit ARM Cortex M0 Microcontroller, 48MHz, 32 kB Flash, 16-Pin QFN";"";"MKL02Z32VFG4";"https://www.arrow.com/en/products/mkl02z32vfg4/nxp-semiconductors";"";"";"";"NXP MKL02Z32VFG4, 32bit ARM Cortex M0 Microcontroller, 48MHz, 32 kB Flash, 16-Pin QFN";"";"";"0.65mm";"NXP";"MKL02Z32VFG4";"";"";"841-MKL02Z32VFG4";"https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/MKL02Z32VFG4?qs=RECgZY%252BK1xLpPFD7GzHxWg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MS561101BA03-00";"MS561101BA03-00";"SON125P300X500X100-8N";"IC7";"MS561101BA03-50, Barometric Pressure Sensor, 1200mbar 0  3.6 V Output, 8-Pin QFN";"";"MS561101BA03-00";"https://www.arrow.com/en/products/ms561101ba03-00/te-connectivity";"";"";"";"MS561101BA03-50, Barometric Pressure Sensor, 1200mbar 0  3.6 V Output, 8-Pin QFN";"";"";"1mm";"TE Connectivity";"MS561101BA03-00";"";"";"824-MS561101BA03-00";"https://www.mouser.com/Search/Refine.aspx?Keyword=824-MS561101BA03-00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"PTS810SJG250SMTRLFS";"PTS810SJG250SMTRLFS";"PTS810SJG250SMTRLFS";"S2, S3";"PTS810SJG250SMTRLFS (Tactile Switches) Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 100000Cycles 3.92N SMD T/R";"";"PTS810SJG250SMTRLFS";"";"";"";"";"PTS810SJG250SMTRLFS (Tactile Switches) Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 100000Cycles 3.92N SMD T/R";"";"";"2.7mm";"C & K COMPONENTS";"PTS810SJG250SMTRLFS";"";"";"611-PTS810SJG250SMTR";"https://www.mouser.co.uk/ProductDetail/CK/PTS810SJG250SMTRLFS?qs=UxeAxwACbqndUPIQjZosiw%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"PWR163S-25-2R20J";"PWR163S-25-2R20J";"PWR163_DPAK";"R28, R55, R69";"Thick Film Resistors - SMD 25watts 5% 2.2Ohm DPAK";"";"PWR163S-25-2R20J";"";"";"";"";"Thick Film Resistors - SMD 25watts 5% 2.2Ohm DPAK";"";"";"mm";"Bourns";"PWR163S-25-2R20J";"";"";"652-PWR163S-25-2R20J";"https://www.mouser.co.uk/ProductDetail/Bourns/PWR163S-25-2R20J?qs=Irp2sZejZDSl03BQqaIVVg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"QBLP679E-RGB";"QBLP679E-RGB";"QBLP679ERGB";"LED1";"LED RGB DIFFUSED 6PLCC SMD";"";"QBLP679E-RGB";"";"";"";"";"LED RGB DIFFUSED 6PLCC SMD";"";"";"1.8mm";"QT Brightek (QTB)";"QBLP679E-RGB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"3.3VOK, 6OK, 8.4VOK, LED2, LED3, LED4, LED7, LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";"";"";
"1";"RFM95W-868S2";"RFM95W-868S2";"XCVR_RFM95W-868S2";"U1";"Mod Txrx Lora +20dbm 868mhz Smd";"";"";"";"Unavailable";"";"";" General ISM < 1GHz LoRa™ Transceiver Module 868MHz Antenna Not Included Surface Mount ";"";"";"";"";"";"RF";"";"";"";"RFM95W-868S2";"";"";"SMD-16 Hope Microelectronics";"";"None";"";"";"";"";"";"";"";"";
"1";"SS5P6-M3/86A";"SS5P6-M3/86A";"TO-277A(SMPC)";"D2";"Vishay";"https://snapeda.com/shop?store=Arrow+Electronics&id=580592";"";"";"Unavailable";"";"";" Diode Schottky 60V 5A Surface Mount TO-277A (SMPC) ";"";"https://snapeda.com/shop?store=DigiKey&id=580592";"";"";"";"Vishay Semiconductor";"https://snapeda.com/shop?store=Mouser&id=580592";"";"";"SS5P6-M3/86A";"";"";"TO-277 Vishay Semiconductor";"";"None";"";"";"";"";"";"";"";"";
"14";"TPB1,27";"TPB1,27";"B1,27";"3.3V, 6V, 8.4V, ACC3, ACC4, ACC5, ACC6, ACC7, CE1, CE2, CE3, CE4, CE5, CE6";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";"";"";"";"";"";"";"";"";
"1";"TPS7A4533KTTR";"TPS7A4533KTTR";"KTT0005B";"IC6";"Low-Noise Fast-Transient-Response 1.5-A Low-Dropout Voltage Regulators";"";"TPS7A4533KTTR";"https://www.arrow.com/en/products/tps7a4533kttr/texas-instruments";"";"";"";"Low-Noise Fast-Transient-Response 1.5-A Low-Dropout Voltage Regulators";"";"";"mm";"Texas Instruments";"TPS7A4533KTTR";"";"";"595-TPS7A4533KTTR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS7A4533KTTR?qs=VdEABdpqjWy1AK9ieQmsYg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"U-BLOX_SAM_M8Q-0-10";"U-BLOX_SAM_M8Q-0-10";"SAM-M8Q";"U4";"u-blox SAM-M8Q";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-14070";"";"";"";"";"";"";"";
